"sla","la","seed","leafnitro","wd","IDmaster"
15.3482755,58.64,141.501356457005,24.4,0.5255,"1"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"2"
8.16872366498999,34.3,579,17.462715,0.523900000000001,"3"
5.555555556,47.5099,544.405128228,16.3,0.45,"4"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"5"
9.09,0.21,1168.893333482,17.556008562,0.38,"6"
16.4557218519,29.0195,0.06,22.2147106546,0.5913,"7"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"8"
11.51472000575,0.02,172.06,14.895402256,0.4824,"9"
13.504,132.1077480003,1353.15535761,38.8705437,0.5173,"10"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"11"
23.228,110.03,4951.0087,41.2,4.7147,"12"
12.5994,50.46,265.325378026,17.1506029205,0.4998,"13"
13.15789474,61,422.862069729685,21.899757049,0.540900000000001,"14"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"15"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"16"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"17"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"18"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"19"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"20"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"21"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"22"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"23"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"24"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"25"
18.05,72.8865266666667,381.26044570437,29.9175923149,0.46,"26"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"27"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"28"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"29"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"30"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"31"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"32"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"33"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"34"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"35"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"36"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"37"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"38"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"39"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"40"
38.1825892511,237.6172,1022.66517444259,30.1326065277,0.73,"41"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"42"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"43"
12.64951465323,30.49,120.1645633141,12.069366349,0.5002,"44"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"45"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"46"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"47"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"48"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"49"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"50"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"51"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"52"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"53"
24.1141021708,128.6164,543.821122955,41.93,0.550892,"54"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"55"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"56"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"57"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"58"
24.0700452416,590,4872.7326,36.2544041043,8.4045,"59"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"60"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"61"
13.445093,38.19,90.8168625903334,14.6108363892,0.5083,"62"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"63"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"64"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"65"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"66"
18.78890314706,87.29,455.931669286,29.7602442242,0.4322,"67"
9.47473753267,27.82,1809.81,19.234351555,0.699300000000001,"68"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"69"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"70"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"71"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"72"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"73"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"74"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"75"
12.19104988772,18.45,209.74,14.267790884,0.4962,"76"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"77"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"78"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"79"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"80"
