"LEVEL3_N","mean_temp","precipatation","temp_seasonality","ivs","temp_anomaly","prec_anomaly","active","passive","longitude","latitude"
"Alabama",17.0343723297119,1458.78247070312,726.512084960938,838664.75,89.4249038696289,34.3404502868652,4,NA,-86.830757511198,32.7810083347155
"Albania",11.5941305160522,1116.62072753906,663.335083007812,533301.5625,64.2304763793945,-212.674789428711,1,NA,20.0703516412531,41.1348792816131
"Aldabra",26.4849071502686,981.999877929688,113.59302520752,2809.48681640625,33.6508827209473,-6.79980564117432,NA,1,46.3834486694137,-9.41279852040282
"Algeria",23.1489944458008,79.6950912475586,799.922729492188,3025.43334960938,79.0174255371094,-0.542861521244049,1,NA,2.64624213247787,28.0603436854839
"Andaman Is.",26.6411972045898,2793.345703125,78.9719009399414,677958.75,37.4519348144531,-261.447723388672,11,6,92.7802576422947,12.2773650968328
"Angola",21.5776824951172,1024.22827148438,194.503723144531,256801.96875,35.2760047912598,57.3951034545898,38,10,17.5671682464801,-12.3134648692112
"Argentina Northeast",17.6729297637939,898.444213867188,500.701751708984,100040.0078125,24.5191402435303,135.591186523438,48,9,-61.1530133248919,-32.4275908758035
"Argentina Northwest",14.677659034729,421.184204101562,476.124816894531,175882.546875,28.1947326660156,64.7133941650391,27,6,-66.2710873719694,-29.0112713969089
"Argentina South",9.78416728973389,298.832946777344,509.61279296875,82834.09375,55.2726783752441,110.274833679199,3,2,-68.7424779672818,-44.1203377612424
"Arkansas",15.7501096725464,1275.82775878906,835.576416015625,685583.75,139.740158081055,-27.3515205383301,4,NA,-92.4461105505409,34.8948450977885
"Aruba",27.9392585754395,418.395111083984,108.535781860352,981.697082519531,44.8879776000977,-170.634124755859,1,2,-69.9771154676713,12.5166867415278
"Ascension",20.1844654083252,192.123260498047,140.133239746094,1403.94030761719,24.8952331542969,-55.6858787536621,2,NA,-14.363286653286,-7.93807961265075
"Assam",22.2649192810059,2516.36645507812,394.368225097656,441069.03125,51.0808639526367,277.586700439453,18,6,92.8462151478706,25.4765322787756
"Austria",6.20823335647583,1068.56567382812,688.866516113281,685584.1875,87.4618530273438,-33.7895851135254,1,NA,14.1143172759527,47.5989806517837
"Azores",16.6887989044189,1189.93872070312,298.291961669922,153007.15625,32.4335594177246,82.3401260375977,1,NA,-27.0416710834107,38.2793032921199
"Bahamas",25.2894401550293,1092.92321777344,245.226974487305,91374.7890625,38.5205535888672,293.125396728516,10,2,-76.4609262680139,24.1574563943043
"Bangladesh",25.3728542327881,2297.52783203125,384.035461425781,60379.8359375,39.134593963623,227.899719238281,24,7,90.2798783351876,23.8261120419372
"Belize",25.1138210296631,2030.97265625,164.576690673828,991876.875,35.050594329834,601.002746582031,94,19,-88.6837778719013,17.2165140890817
"Benin",27.1679458618164,1036.85681152344,179.719268798828,92798.375,48.623119354248,206.710556030273,28,6,2.34203682833019,9.64150170625789
"Bermuda",22.2280769348145,1503.43420410156,339.173858642578,0,30.6026592254639,-123.840324401855,6,NA,-64.7564207858528,32.313499536411
"Bismarck Archipelago",24.7558269500732,3341.97705078125,41.0480194091797,1235393.875,30.4905948638916,1151.02587890625,11,1,150.627279862057,-4.9370204549326
"Bolivia",20.835786819458,1156.73815917969,196.889495849609,843076.6875,31.8779487609863,28.7873020172119,223,38,-64.6837403198432,-16.6890583032594
"Borneo",26.0315761566162,3024.93823242188,31.2990341186523,1241650.625,41.6951675415039,387.463592529297,26,14,114.197297511353,0.866223014168132
"Botswana",22.1354160308838,375.255584716797,426.746215820312,18999.546875,46.3661804199219,-32.0433349609375,2,1,23.8252371527465,-22.1632217778607
"Brazil North",25.9035511016846,2226.96752929688,49.9628295898438,1128705.75,34.9088325500488,64.398063659668,266,42,-59.2533437947395,-4.64310004516244
"Brazil Northeast",24.694242477417,1021.99890136719,111.762397766113,158414.78125,46.5691070556641,-36.1907157897949,129,17,-41.7344709461594,-8.61098325067545
"Brazil South",18.4833202362061,1588.76489257812,348.437133789062,302225.15625,32.4586601257324,20.8775329589844,69,11,-52.2287961994402,-27.5209197176107
"Brazil Southeast",21.315975189209,1290.99621582031,205.732360839844,196148.484375,41.391975402832,-8.29551029205322,115,14,-45.4432010190558,-19.7127440380831
"Brazil West-Central",24.2499217987061,1647.86267089844,137.233337402344,340060.96875,34.3011703491211,24.6808032989502,141,24,-54.3144387108354,-15.2597896600856
"Burkina",28.0539817810059,751.44482421875,227.779327392578,12243.0302734375,53.6185760498047,266.276611328125,10,3,-1.74638934552204,12.279143410268
"Burundi",19.6118240356445,1179.08471679688,52.0826416015625,164319.453125,56.1189270019531,91.5267868041992,8,6,29.8869064756196,-3.35612336274259
"C. American Pacific Is.",25.4950656890869,4990.63330078125,86.5483016967773,0,36.5513725280762,4275.47900390625,4,1,-91.7356641768644,6.62680587415788
"Cabinda",24.7243824005127,1076.57238769531,181.865432739258,461971.15625,28.1150321960449,25.1907615661621,31,7,12.4624347595521,-5.04107243723646
"Cambodia",26.7797946929932,1791.17700195312,144.305938720703,387997.125,58.7684097290039,353.941345214844,17,9,104.919512471677,12.7134544483123
"Cameroon",24.347972869873,1613.78308105469,114.56623840332,862973.5,47.3538398742676,169.723678588867,62,26,12.7375521428174,5.67592269207302
"Canary Is.",18.1370410919189,257.077026367188,282.441436767578,93208.4921875,43.8084144592285,-124.226867675781,2,NA,-15.6814506780505,28.3445560065015
"Cape Provinces",17.1914520263672,349.814117431641,479.8544921875,97098.2578125,41.1775856018066,-40.1816787719727,1,NA,22.5110361247602,-30.8947990666176
"Caprivi Strip",22.7932186126709,574.667846679688,353.736785888672,82793.203125,41.6932258605957,-38.7452850341797,1,1,23.2585847636007,-17.9233660647936
"Caroline Is.",26.7048282623291,3909.96533203125,30.0381050109863,204273.90625,29.7394962310791,1109.1171875,7,3,146.735230341532,7.36238951139627
"Cayman Is.",26.8547840118408,1367.36682128906,145.920104980469,158125.546875,42.6931571960449,466.554534912109,6,2,-80.8304768277526,19.4323820635765
"Central African Republic",24.8141422271729,1341.09790039062,116.562004089355,492436.34375,52.3591384887695,196.440078735352,45,20,20.4762981646362,6.57550096223535
"Central European Russia",4.55469274520874,588.819091796875,1047.29895019531,572009.625,138.090362548828,139.047454833984,1,NA,39.7425861969061,54.8365110776216
"Chad",26.9486198425293,306.309020996094,398.334381103516,15807.146484375,63.5276527404785,125.078117370605,6,1,18.654429368918,15.3026758432719
"Chile Central",10.5866327285767,847.102844238281,389.039093017578,430832.15625,23.3406658172607,2.08518886566162,2,2,-71.4643022559956,-34.8727705538224
"Chile South",6.10644292831421,1722.66833496094,327.087341308594,521181.34375,86.717903137207,40.1100845336914,3,2,-72.6541495308377,-47.8240981987675
"China North-Central",8.63432312011719,482.718566894531,1027.98095703125,119646.65625,71.3493881225586,134.714416503906,4,1,109.505001945918,37.5552181307264
"China South-Central",12.4937419891357,1039.70532226562,644.461791992188,433978.71875,65.456184387207,126.10425567627,23,8,104.561648981895,28.4999926015421
"China Southeast",17.2863655090332,1371.3291015625,776.272521972656,546300.375,58.0354766845703,165.189666748047,18,6,114.301834732691,28.0026644300824
"Christmas I.",23.5265674591064,1997.09020996094,53.2206115722656,159566.640625,25.9462985992432,431.229919433594,3,NA,105.703698212184,-10.4441144378672
"Colombia",24.5013198852539,2632.85473632812,59.2790374755859,950752.5625,34.4416122436523,381.307861328125,280,62,-73.0712822756068,3.88960480162827
"Colorado",6.92294502258301,420.804290771484,881.404724121094,216462.25,123.577728271484,33.9775009155273,1,NA,-105.536681691476,39.0042729556742
"Comoros",23.8031787872314,1990.85717773438,127.907455444336,680576.9375,34.4273681640625,-178.722091674805,10,4,43.9771078534253,-12.0852028381102
"Congo",24.565954208374,1643.14343261719,83.4013214111328,923613.8125,39.2990798950195,155.157302856445,49,20,15.2257673485984,-0.839183902645883
"Connecticut",9.38604068756104,1222.52233886719,917.384704589844,1022793.625,247.922348022461,-90.8518600463867,2,NA,-72.7284870679874,41.6259636532432
