"scientific_name","match_name","match_status","accepted_plant_name_id","ipni_id","accepted_taxon_name","accepted_family_name","accepted_genus_name","accepted_taxon_authors"
"Abuta panamensis","Abuta panamensis","Accepted",2610398,"156-2","Abuta panamensis","Menispermaceae","Abuta","(Standl.) Krukoff & Barneby"
"Abuta panurensis","Abuta panurensis","Accepted",2610399,"580073-1","Abuta panurensis","Menispermaceae","Abuta","Eichler"
"Abuta racemosa","Abuta racemosa","Accepted",2610403,"580077-1","Abuta racemosa","Menispermaceae","Abuta","Triana & Planch."
"Abuta rufescens","Abuta rufescens","Accepted",2610404,"580080-1","Abuta rufescens","Menispermaceae","Abuta","Aubl."
"Abuta solimoesensis","Abuta solimoesensis","Accepted",2610411,"159-2","Abuta solimoesensis","Menispermaceae","Abuta","Krukoff & Barneby"
"Acacia hayesii","Acacia hayesii","Synonym",2590669,"518260-1","Senegalia hayesii","Fabaceae","Senegalia","(Benth.) Britton & Rose"
"Acacia kamerunensis","Acacia kamerunensis","Synonym",2998822,"77130791-1","Senegalia kamerunensis","Fabaceae","Senegalia","(Gand.) Kyal. & Boatwr."
"Acacia kuhlmannii","Acacia kuhlmannii","Synonym",2605487,"60445210-2","Senegalia kuhlmannii","Fabaceae","Senegalia","(Ducke) Seigler & Ebinger"
"Acacia pentagona","Acacia pentagona","Synonym",2998298,"77131645-1","Senegalia pentagona","Fabaceae","Senegalia","(Schumach.) Kyal. & Boatwr."
"Acacia riparia","Acacia riparia","Synonym",2590797,"518296-1","Senegalia riparia","Fabaceae","Senegalia","(Kunth) Britton & Rose"
"Acacia sakalava","Acacia sakalava","Synonym",3003200,"77150528-1","Senegalia sakalava","Fabaceae","Senegalia","(Drake) Boatwr."
"Acalypha cuneata","Acalypha cuneata","Accepted",434,"337311-1","Acalypha cuneata","Euphorbiaceae","Acalypha","Poepp."
"Adelobotrys adscendens","Adelobotrys adscendens","Accepted",3018365,"566051-1","Adelobotrys adscendens","Melastomataceae","Adelobotrys","(Sw.) Triana"
"Adelphia hiraea","Adelphia hiraea","Accepted",2621190,"60442792-2","Adelphia hiraea","Malpighiaceae","Adelphia","(Gaertn.) W.R.Anderson"
"Adenia penangiana","Adenia penangiana","Accepted",2621558,"674150-1","Adenia penangiana","Passifloraceae","Adenia","(Wall. ex G.Don) W.J.de Wilde"
"Adenocalymma adenophorum","Adenocalymma adenophorum","Accepted",320890,"77141914-1","Adenocalymma adenophorum","Bignoniaceae","Adenocalymma","(Sandwith) L.G.Lohmann"
"Adenocalymma bracteolatum","Adenocalymma bracteolatum","Accepted",319329,"108108-1","Adenocalymma bracteolatum","Bignoniaceae","Adenocalymma","DC."
"Adenocalymma bracteosum","Adenocalymma bracteosum","Accepted",320902,"77100435-1","Adenocalymma bracteosum","Bignoniaceae","Adenocalymma","(DC.) L.G.Lohmann"
"Adenocalymma croatii","Adenocalymma croatii","Accepted",320906,"77141923-1","Adenocalymma croatii","Bignoniaceae","Adenocalymma","(A.H.Gentry) L.G.Lohmann"
"Adenocalymma flavum","Adenocalymma flavum","Accepted",319352,"108118-1","Adenocalymma flavum","Bignoniaceae","Adenocalymma","Mart. ex DC."
"Adenocalymma hirtum","Adenocalymma hirtum","Accepted",319370,"4302-2","Adenocalymma hirtum","Bignoniaceae","Adenocalymma","(Mart. ex DC.) Bureau & K.Schum."
"Adenocalymma impressum","Adenocalymma impressum","Accepted",319373,"4305-2","Adenocalymma impressum","Bignoniaceae","Adenocalymma","(Rusby) Sandwith"
"Adenocalymma inundatum","Adenocalymma inundatum","Accepted",319374,"108127-1","Adenocalymma inundatum","Bignoniaceae","Adenocalymma","Mart. ex DC."
"Adenocalymma magdalenense","Adenocalymma magdalenense","Accepted",319388,"4313-2","Adenocalymma magdalenense","Bignoniaceae","Adenocalymma","Dugand"
"Adenocalymma magnificum","Adenocalymma magnificum","Accepted",319389,"108138-1","Adenocalymma magnificum","Bignoniaceae","Adenocalymma","Mart. ex DC."
"Adenocalymma marginatum","Adenocalymma marginatum","Accepted",319392,"108139-1","Adenocalymma marginatum","Bignoniaceae","Adenocalymma","(Cham.) DC."
