"IDmaster","habit","accepted_taxon_name","accepted_genus_name","accepted_family_name","sla","la","seed","leafnitro","wd"
1,"active","Abuta panamensis","Abuta","Menispermaceae",15.3482755,58.64,NA,24.4,NA
2,"active","Abuta panurensis","Abuta","Menispermaceae",NA,NA,NA,NA,NA
3,"active","Abuta racemosa","Abuta","Menispermaceae",NA,34.3,579,NA,NA
4,"active","Abuta rufescens","Abuta","Menispermaceae",5.555555556,NA,NA,16.3,0.45
5,"active","Abuta solimoesensis","Abuta","Menispermaceae",NA,NA,NA,NA,NA
6,"passive","Senegalia hayesii","Senegalia","Fabaceae",9.09,0.21,NA,NA,0.38
7,"passive","Senegalia kamerunensis","Senegalia","Fabaceae",NA,NA,0.06,NA,NA
8,"passive","Senegalia kuhlmannii","Senegalia","Fabaceae",NA,NA,NA,NA,NA
9,"active","Senegalia pentagona","Senegalia","Fabaceae",NA,0.02,172.06,NA,NA
10,"passive","Senegalia riparia","Senegalia","Fabaceae",13.504,NA,NA,38.8705437,NA
11,"passive","Senegalia sakalava","Senegalia","Fabaceae",NA,NA,NA,NA,NA
12,"active","Acalypha cuneata","Acalypha","Euphorbiaceae",23.228,110.03,NA,41.2,NA
13,"passive","Adelobotrys adscendens","Adelobotrys","Melastomataceae",12.5994,50.46,NA,NA,NA
14,"passive","Adelphia hiraea","Adelphia","Malpighiaceae",13.15789474,61,NA,NA,NA
15,"active","Adenia penangiana","Adenia","Passifloraceae",NA,NA,NA,NA,NA
16,"active","Adenocalymma adenophorum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
17,"active","Adenocalymma bracteolatum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
18,"active","Adenocalymma bracteosum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
19,"active","Adenocalymma croatii","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
20,"active","Adenocalymma flavum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
21,"active","Adenocalymma hirtum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
22,"active","Adenocalymma impressum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
23,"active","Adenocalymma inundatum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
24,"active","Adenocalymma magdalenense","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
25,"active","Adenocalymma magnificum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
26,"active","Adenocalymma marginatum","Adenocalymma","Bignoniaceae",18.05,NA,NA,NA,0.46
27,"active","Adenocalymma moringifolium","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
28,"active","Adenocalymma patulum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
29,"active","Adenocalymma pseudopatulum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
30,"active","Adenocalymma tanaeciicarpum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
31,"active","Adenocalymma ternatum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
32,"active","Adenocalymma uleanum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
33,"active","Adenocalymma validum","Adenocalymma","Bignoniaceae",NA,NA,NA,NA,NA
34,"passive","Adenopodia scelerata","Adenopodia","Fabaceae",NA,NA,NA,NA,NA
35,"passive","Aegiphila elegans","Aegiphila","Lamiaceae",NA,NA,NA,NA,NA
36,"passive","Aegiphila hirsuta","Aegiphila","Lamiaceae",NA,NA,NA,NA,NA
37,"passive","Aegiphila hoehnei","Aegiphila","Lamiaceae",NA,NA,NA,NA,NA
38,"passive","Aegiphila laeta","Aegiphila","Lamiaceae",NA,NA,NA,NA,NA
39,"passive","Agelaea macrophylla","Agelaea","Connaraceae",NA,NA,NA,NA,NA
40,"active","Agelaea paradoxa","Agelaea","Connaraceae",NA,NA,NA,NA,NA
41,"passive","Agelaea pentagyna","Agelaea","Connaraceae",NA,NA,NA,NA,0.73
42,"passive","Aglaia rufinervis","Aglaia","Meliaceae",NA,NA,NA,NA,NA
43,"passive","Airyantha schweinfurthii","Airyantha","Fabaceae",NA,NA,NA,NA,NA
44,"active","Alafia barteri","Alafia","Apocynaceae",NA,30.49,NA,NA,NA
45,"active","Alafia thouarsii","Alafia","Apocynaceae",NA,NA,NA,NA,NA
46,"active","Alicia anisopetala","Alicia","Malpighiaceae",NA,NA,NA,NA,NA
47,"active","Alicia macrodisca","Alicia","Malpighiaceae",NA,NA,NA,NA,NA
48,"active","Allomarkgrafia plumeriiflora","Allomarkgrafia","Apocynaceae",NA,NA,NA,NA,NA
49,"active","Thinouia trifoliolata","Thinouia","Sapindaceae",NA,NA,NA,NA,NA
50,"passive","Alphitonia neocaledonica","Alphitonia","Rhamnaceae",NA,NA,NA,NA,NA
51,"active","Amorimia rigida","Amorimia","Malpighiaceae",NA,NA,NA,NA,NA
52,"active","Ampelopsis glandulosa","Ampelopsis","Vitaceae",NA,NA,NA,NA,NA
53,"active","Amphilophium chocoense","Amphilophium","Bignoniaceae",NA,NA,NA,NA,NA
54,"active","Amphilophium crucigerum","Amphilophium","Bignoniaceae",NA,NA,NA,41.93,NA
55,"active","Amphilophium dasytrichum","Amphilophium","Bignoniaceae",NA,NA,NA,NA,NA
56,"active","Amphilophium ecuadorense","Amphilophium","Bignoniaceae",NA,NA,NA,NA,NA
57,"active","Amphilophium granulosum","Amphilophium","Bignoniaceae",NA,NA,NA,NA,NA
58,"active","Amphilophium lactiflorum","Amphilophium","Bignoniaceae",NA,NA,NA,NA,NA
59,"active","Amphilophium magnoliifolium","Amphilophium","Bignoniaceae",NA,590,NA,NA,NA
60,"active","Amphilophium nunezii","Amphilophium","Bignoniaceae",NA,NA,NA,NA,NA
61,"active","Amphilophium occidentale","Amphilophium","Bignoniaceae",NA,NA,NA,NA,NA
62,"active","Amphilophium paniculatum","Amphilophium","Bignoniaceae",13.445093,38.19,NA,NA,NA
63,"active","Amphilophium pulverulentum","Amphilophium","Bignoniaceae",NA,NA,NA,NA,NA
64,"active","Amphilophium rodriguesii","Amphilophium","Bignoniaceae",NA,NA,NA,NA,NA
65,"active","Ancistrocladus barteri","Ancistrocladus","Ancistrocladaceae",NA,NA,NA,NA,NA
66,"passive","Ancistrocladus ealaensis","Ancistrocladus","Ancistrocladaceae",NA,NA,NA,NA,NA
67,"active","Anemopaegma chrysanthum","Anemopaegma","Bignoniaceae",NA,87.29,NA,NA,NA
68,"active","Anemopaegma chrysoleucum","Anemopaegma","Bignoniaceae",NA,27.82,1809.81,NA,NA
69,"active","Anemopaegma insculptum","Anemopaegma","Bignoniaceae",NA,NA,NA,NA,NA
70,"active","Anemopaegma orbiculatum","Anemopaegma","Bignoniaceae",NA,NA,NA,NA,NA
